Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Mean_Age,Confirmed,Deaths,Mortality Ratio,Latitude,Longitude
Afghanistan,37172386,14000,2020-03-23T00:00:00.000Z,2020-02-25T00:00:00.000Z,17.3,39145.0,1446.0,3.69,33.93911,67.709953
Albania,2866376,5340000,2020-03-12T00:00:00.000Z,2020-03-10T00:00:00.000Z,36.2,12787.0,370.0,2.89,41.153332,20.168331
Algeria,42228429,2657000,2020-03-13T00:00:00.000Z,2020-02-26T00:00:00.000Z,27.5,50400.0,1698.0,3.37,28.033886,1.6596259999999998
Andorra,77006,3042000,2020-03-23T00:00:00.000Z,2020-03-03T00:00:00.000Z,37.0,1753.0,53.0,3.02,42.546245,1.601554
Angola,30809762,218000,2020-03-30T00:00:00.000Z,2020-03-21T00:00:00.000Z,16.4,4363.0,159.0,3.64,-11.202692,17.873887
Antigua and Barbuda,96286,269000,2020-04-08T00:00:00.000Z,2020-03-14T00:00:00.000Z,30.7,97.0,3.0,3.09,17.060816,-61.79642800000001
Argentina,44494502,6942000,2020-03-09T00:00:00.000Z,2020-03-04T00:00:00.000Z,30.8,664799.0,14376.0,2.16,-38.416097,-63.616672
Armenia,2951776,1652000,2020-03-27T00:00:00.000Z,2020-03-02T00:00:00.000Z,33.9,47877.0,942.0,1.97,40.069099,45.038189
Australia,24982688,9246000,2020-03-02T00:00:00.000Z,2020-01-26T00:00:00.000Z,37.4,26980.0,861.0,3.19,-25.274398,133.775136
Austria,8840521,30816000,2020-03-13T00:00:00.000Z,2020-02-26T00:00:00.000Z,43.2,39984.0,777.0,1.94,47.516231,14.550072
Azerbaijan,9939800,2633000,2020-03-14T00:00:00.000Z,2020-03-02T00:00:00.000Z,30.3,39524.0,580.0,1.47,40.143105,47.57692700000001
Bahamas,385640,14000,2020-04-02T00:00:00.000Z,2020-03-17T00:00:00.000Z,32.5,3618.0,80.0,2.21,25.03428,-77.39628
Bahrain,1569439,12045000,2020-03-17T00:00:00.000Z,2020-02-25T00:00:00.000Z,31.2,67014.0,231.0,0.34,25.930414000000006,50.637772
Bangladesh,161356039,14000,2020-03-19T00:00:00.000Z,2020-03-09T00:00:00.000Z,25.6,353844.0,5044.0,1.43,23.684994,90.356331
Barbados,286641,680000,2020-04-06T00:00:00.000Z,2020-03-18T00:00:00.000Z,38.5,189.0,7.0,3.7,13.193887,-59.543198
Belarus,9483499,11501600,2020-04-01T00:00:00.000Z,2020-02-29T00:00:00.000Z,39.6,76357.0,796.0,1.04,53.709807,27.953389
Belgium,11433256,9119000,2020-03-12T00:00:00.000Z,2020-02-05T00:00:00.000Z,41.3,106887.0,9959.0,9.32,50.503887,4.469936
Belize,383071,489000,2020-04-07T00:00:00.000Z,2020-03-24T00:00:00.000Z,23.5,1706.0,22.0,1.29,17.189877,-88.49765
Benin,11485048,295000,2020-04-07T00:00:00.000Z,2020-03-17T00:00:00.000Z,18.2,2325.0,40.0,1.72,9.30769,2.315834
Bhutan,754394,274000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-07T00:00:00.000Z,26.3,261.0,0.0,0.0,27.514162,90.433601
Bolivia,11353142,1142000,2020-03-30T00:00:00.000Z,2020-03-12T00:00:00.000Z,37.0,131990.0,7731.0,5.86,-16.290154,-63.588653
Bosnia and Herzegovina,3323929,1053000,2020-03-22T00:00:00.000Z,2020-03-06T00:00:00.000Z,41.0,26081.0,790.0,3.03,43.915886,17.679076000000006
Botswana,2254126,14000,2020-04-01T00:00:00.000Z,2020-03-31T00:00:00.000Z,24.4,2567.0,13.0,0.51,-22.328474,24.684866
